latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean_2021,dhi_mean_2021,dni_mean_2021,temp_mean_2021,wind_mean_2021,sp_mean_2021,Solar_Energy2021
31.33,-109.78,1360.8,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,243.44206621004565,54.2152397260274,316.95131278538815,177.52260273972604,25.38590182648402,862.5664383561644,383.85945000000004
31.33,-109.74,1322.75,-7,b'United States',b'Arizona',b'Cochise',b'None',5,130,244.3071917808219,54.363013698630134,317.6416095890411,180.5728310502283,25.697374429223743,866.9541095890411,385.22357999999997
31.33,-109.7,1287.125,-7,b'United States',b'Arizona',b'Cochise',b'None',3,130,245.01809360730593,53.73127853881279,319.3067351598174,181.8509132420091,25.84286529680365,868.8581050228311,386.34452999999996
31.33,-109.66,1259.8,-7,b'United States',b'Arizona',b'Cochise',b'None',5,130,245.7289383561644,53.220319634703195,320.32351598173517,184.65667808219175,26.331678082191782,872.9081621004566,387.46539
31.33,-109.62,1229.1,-7,b'United States',b'Arizona',b'Cochise',b'None',137,130,245.49389269406393,52.49737442922375,320.1560502283105,185.4775114155251,26.48087899543379,874.1119863013698,387.09477
31.33,-109.58,1210.0,-7,b'United States',b'Arizona',b'Cochise',b'None',17845,130,244.9291095890411,52.3304794520548,319.0821917808219,186.8860730593607,26.745319634703197,876.1502853881278,386.20421999999996
31.33,-109.54,1233.7,-7,b'United States',b'Arizona',b'Cochise',b'Agua Prieta',46191,130,245.21689497716895,51.90530821917808,320.11204337899545,185.90593607305937,26.934303652968037,874.3382420091324,386.658
31.33,-109.5,1272.625,-7,b'United States',b'Arizona',b'Cochise',b'None',1901,130,245.52014840182648,52.330764840182646,320.47425799086756,183.13304794520548,27.057762557077627,869.6563356164384,387.13617
31.33,-109.46,1332.4,-7,b'United States',b'Arizona',b'Cochise',b'None',29,130,246.20981735159816,51.84446347031963,323.0337899543379,177.5279109589041,27.161586757990868,860.422203196347,388.22364
31.33,-109.42,1397.65,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,246.05222602739727,51.83898401826484,323.1369292237443,173.40222602739726,27.21603881278539,853.6477739726027,387.97515
31.33,-109.38,1332.7,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,244.72397260273976,52.547203196347034,319.73727168949773,181.72539954337896,27.224942922374428,867.1138698630137,385.88076000000007
31.33,-109.34,1234.95,-7,b'United States',b'Arizona',b'Cochise',b'None',2,130,244.086301369863,53.167922374429224,317.55998858447487,184.5521689497717,27.22517123287671,871.7142694063926,384.87528
31.33,-109.3,1180.9375,-7,b'United States',b'Arizona',b'Cochise',b'None',3,130,242.1513698630137,53.777054794520545,312.7803082191781,190.24720319634704,27.22939497716895,880.5691780821918,381.82428
31.33,-109.26,1147.65,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,241.54731735159817,54.208390410958906,311.14720319634705,191.7377283105023,27.22585616438356,882.9904109589041,380.87181
31.33,-109.22,1171.1,-7,b'United States',b'Arizona',b'Cochise',b'None',7,130,242.3714611872146,53.51204337899544,313.59600456621007,190.6394406392694,27.22665525114155,881.0805936073059,382.17132
31.33,-109.18,1226.45,-7,b'United States',b'Arizona',b'Cochise',b'None',17,130,242.6767123287671,53.44366438356165,314.3650114155251,188.6735730593607,27.255479452054793,877.7622146118722,382.65264
31.33,-109.14,1280.5,-7,b'United States',b'Arizona',b'Cochise',b'None',20,130,242.4115296803653,53.56192922374429,314.23333333333335,183.95325342465753,27.42437214611872,869.96649543379,382.2345
31.33,-109.1,1335.5625,-7,b'United States',b'Arizona',b'Cochise',b'None',6,130,241.62939497716897,53.84788812785388,312.38755707762556,182.54520547945205,27.659075342465755,867.6839041095891,381.00122999999996
31.33,-109.06,1378.1,-7,b'United States',b'Arizona',b'Cochise',b'None',3,130,241.55941780821917,53.94794520547945,312.3740296803653,180.94657534246576,27.809760273972604,865.1208904109589,380.89089
31.37,-111.18,1294.68,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',33,140,243.6591894977169,51.91033105022831,321.41563926940637,182.92248858447488,25.11683789954338,872.0013127853881,384.20181
31.37,-111.14,1385.16,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',7,130,243.84046803652967,52.11078767123288,322.2203196347032,176.9162100456621,25.107020547945204,862.0666666666667,384.48765
31.37,-111.1,1319.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',0,140,243.10981735159817,52.384246575342466,320.3104452054794,185.5531392694064,25.075114155251143,876.1236872146119,383.33556
31.37,-111.06,1278.84,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',14,130,243.02277397260275,52.65707762557078,319.6941210045662,188.04617579908677,25.0550799086758,880.2350456621004,383.19831
31.37,-111.02,1255.56,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',0,130,242.1691780821918,52.726141552511415,317.74115296803654,189.2919520547945,24.96335616438356,882.4503424657535,381.85236
31.37,-110.98,1184.16,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',3057,130,241.748801369863,52.67151826484018,315.7319634703196,192.47197488584476,24.92134703196347,887.7599315068493,381.18951
31.37,-110.94,1159.56,-7,b'United States',b'Arizona',b'Santa Cruz',b'Nogales',9556,130,241.90028538812783,52.73864155251142,315.18407534246575,194.1263698630137,24.77671232876712,890.7929223744292,381.42836999999986
31.37,-110.9,1197.75,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1897,130,242.15376712328768,52.13675799086758,316.43327625570777,192.19623287671232,24.739554794520547,887.7291666666666,381.82806
31.37,-110.86,1160.76,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',344,30,242.2423515981735,51.663641552511415,316.6662100456621,196.2553082191781,24.68904109589041,894.6817351598173,381.96774
31.37,-110.82,1181.44,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',105,30,241.2638698630137,52.18304794520548,314.96455479452055,192.6589611872146,24.663584474885845,889.1256278538813,380.42487
31.37,-110.78,1320.84,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,241.13864155251144,51.97140410958904,316.5466324200913,188.4257420091324,24.66404109589041,882.3265410958904,380.2274100000001
31.37,-110.74,1648.72,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,70,241.9618150684931,51.537157534246575,321.21586757990866,158.2464611872146,24.680650684931507,834.5478881278539,381.5253899999999
