latitude,longitude
31.61,-109.46
31.61,-109.42
31.61,-109.38
31.61,-109.34
31.61,-109.3
31.61,-109.26
31.61,-109.22
31.61,-109.18
31.61,-109.14
31.61,-109.1
31.61,-109.06
31.65,-112.06
31.65,-112.02
31.65,-111.98
31.65,-111.94
31.65,-111.9
31.65,-111.86
31.65,-111.82
31.65,-111.78
31.65,-111.74
31.65,-111.7
31.65,-111.66
31.65,-111.62
31.65,-111.58
31.65,-111.54
31.65,-111.5
31.65,-111.46
31.65,-111.42
31.65,-111.38
31.65,-111.34
31.65,-111.3
31.65,-111.26
31.65,-111.22
31.65,-111.18
31.65,-111.14
31.65,-111.1
31.65,-111.06
31.65,-111.02
31.65,-110.98
31.65,-110.94
31.65,-110.9
31.65,-110.86
31.65,-110.82
31.65,-110.78
31.65,-110.74
31.65,-110.7
31.65,-110.66
31.65,-110.62
31.65,-110.58
31.65,-110.54
31.65,-110.5
31.65,-110.46
31.65,-110.42
31.65,-110.38
31.65,-110.34
31.65,-110.3
31.65,-110.26
31.65,-110.22
31.65,-110.18
31.65,-110.14
31.65,-110.1
31.65,-110.06
31.65,-110.02
31.65,-109.98
31.65,-109.94
31.65,-109.9
31.65,-109.86
31.65,-109.82
31.65,-109.78
31.65,-109.74
31.65,-109.7
31.65,-109.66
31.65,-109.62
31.65,-109.58
31.65,-109.54
31.65,-109.5
31.65,-109.46
31.65,-109.42
31.65,-109.38
31.65,-109.34
31.65,-109.3
31.65,-109.26
31.65,-109.22
31.65,-109.18
31.65,-109.14
31.65,-109.1
31.65,-109.06
31.69,-112.18
31.69,-112.14
31.69,-112.1
31.69,-112.06
31.69,-112.02
31.69,-111.98
31.69,-111.94
31.69,-111.9
31.69,-111.86
31.69,-111.82
31.69,-111.78
31.69,-111.74
31.69,-111.7
31.69,-111.66
31.69,-111.62
31.69,-111.58
31.69,-111.54
31.69,-111.5
31.69,-111.46
31.69,-111.42
31.69,-111.38
31.69,-111.34
31.69,-111.3
31.69,-111.26
31.69,-111.22
31.69,-111.18
31.69,-111.14
31.69,-111.1
31.69,-111.06
31.69,-111.02
31.69,-110.98
31.69,-110.94
31.69,-110.9
31.69,-110.86
31.69,-110.82
31.69,-110.78
31.69,-110.74
31.69,-110.7
31.69,-110.66
31.69,-110.62
31.69,-110.58
31.69,-110.54
31.69,-110.5
31.69,-110.46
31.69,-110.42
31.69,-110.38
31.69,-110.34
