latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean2022,dni_mean2022,dhi_mean2022,temp_mean2022,wind_mean2022,sp_mean2022,Solar_Energy2022
36.81,-109.9,1537.95,-7,b'United States',b'Arizona',b'Apache',b'None',17,130,226.73327625570775,301.23744292237444,53.916267123287675,128.8107305936073,25.225342465753425,843.1986301369863,357.51302999999996
36.81,-109.86,1540.76,-7,b'United States',b'Arizona',b'Apache',b'None',145,130,227.91358447488585,304.0647260273973,53.16683789954338,128.83310502283106,25.31101598173516,843.2049086757991,359.37414
36.81,-109.82,1555.96,-7,b'United States',b'Arizona',b'Apache',b'None',29,130,231.62705479452055,314.9064497716895,51.10873287671233,128.31980593607307,25.35456621004566,842.39549086758,365.22954
36.81,-109.78,1553.04,-7,b'United States',b'Arizona',b'Apache',b'None',7,130,231.4958904109589,313.7928082191781,51.10051369863014,129.1050799086758,25.340068493150685,843.6776255707763,365.02272
36.81,-109.74,1532.24,-7,b'United States',b'Arizona',b'Apache',b'None',1,130,230.0835616438356,310.2466894977169,51.61609589041096,130.97933789954337,25.246689497716893,846.7407534246576,362.79576
36.81,-109.7,1509.2,-7,b'United States',b'Arizona',b'Apache',b'None',27,130,230.71318493150685,312.6737442922374,50.836244292237446,132.84817351598173,25.16312785388128,849.7823630136986,363.78855
36.81,-109.66,1535.04,-7,b'United States',b'Arizona',b'Apache',b'None',16,130,231.1179794520548,312.775399543379,51.18213470319635,128.59857305936072,24.796632420091324,843.2597602739726,364.42683
36.81,-109.62,1588.32,-7,b'United States',b'Arizona',b'Apache',b'None',21,130,230.81078767123287,312.16672374429226,51.24560502283105,127.12123287671233,24.652511415525115,841.0207191780822,363.94245
36.81,-109.58,1634.12,-7,b'United States',b'Arizona',b'Apache',b'None',7,130,226.9236301369863,299.9687785388128,53.10211187214612,124.39794520547945,24.385502283105023,836.9351598173516,357.81318
36.81,-109.54,1640.52,-7,b'United States',b'Arizona',b'Apache',b'None',10,130,225.47477168949771,297.02842465753423,52.84857305936073,123.78481735159818,24.157705479452055,836.1793378995434,355.52862
36.81,-109.5,1619.75,-7,b'United States',b'Arizona',b'Apache',b'None',24,130,226.12431506849316,300.6275684931507,52.904623287671235,126.8652397260274,23.914326484018265,841.3446347031963,356.55282
36.81,-109.46,1578.12,-7,b'United States',b'Arizona',b'Apache',b'None',23,130,223.61957762557077,293.1041095890411,54.02722602739726,125.4722602739726,23.815810502283107,839.3153538812785,352.60335
36.81,-109.42,1660.52,-7,b'United States',b'Arizona',b'Apache',b'None',62,130,223.8935502283105,293.6021118721461,54.138641552511416,120.02397260273972,23.78464611872146,830.8363584474886,353.03534999999994
36.81,-109.38,1690.84,-7,b'United States',b'Arizona',b'Apache',b'None',44,130,226.72037671232877,302.9800799086758,52.611301369863014,117.97950913242008,23.69406392694064,828.4239726027397,357.49269
36.81,-109.34,1745.76,-7,b'United States',b'Arizona',b'Apache',b'None',72,130,226.33835616438355,303.47802511415523,52.699600456621006,116.51495433789954,23.696061643835616,826.1490296803653,356.89032000000003
36.81,-109.3,1839.75,-7,b'United States',b'Arizona',b'Apache',b'None',8,130,225.29931506849312,301.4652397260274,53.71329908675799,103.8287100456621,23.78213470319635,806.4191210045663,355.25195999999994
36.81,-109.26,1971.36,-7,b'United States',b'Arizona',b'Apache',b'None',8,130,224.55833333333337,301.4421803652968,54.49982876712329,100.77562785388128,23.820433789954336,801.7482876712329,354.08358000000004
36.81,-109.22,2225.6,-7,b'United States',b'Arizona',b'Apache',b'None',5,70,224.8943493150685,302.5542808219178,55.81004566210046,87.84897260273972,23.91883561643836,782.2624429223745,354.61341
36.81,-109.18,2624.04,-7,b'United States',b'Arizona',b'Apache',b'None',15,140,227.4972602739726,306.7420091324201,57.74697488584475,60.469977168949775,24.04429223744292,742.2679223744292,358.71768
36.81,-109.14,2606.04,-7,b'United States',b'Arizona',b'Apache',b'None',1,70,225.96632420091325,303.10422374429226,58.74748858447489,57.5111301369863,24.19326484018265,737.9959474885844,356.3037
36.81,-109.1,2460.15,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,225.4200913242009,303.0485730593607,58.01324200913242,73.14343607305936,24.4,760.5387557077626,355.44239999999996
36.81,-109.06,2004.12,-7,b'United States',b'Arizona',b'Apache',b'None',3,130,222.4053082191781,297.0961187214612,56.73538812785388,97.64651826484018,24.45947488584475,797.0560502283105,350.68869
36.85,-114.02,611.84,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,227.41164383561645,297.87619863013697,53.102739726027394,195.20074200913243,24.992180365296804,948.1933219178082,358.58268
36.85,-113.98,571.92,-7,b'United States',b'Arizona',b'Mohave',b'None',13,130,224.17631278538812,289.5798515981735,54.79988584474886,193.11004566210045,24.9425799086758,944.693093607306,353.48121
36.85,-113.94,573.68,-7,b'United States',b'Arizona',b'Mohave',b'None',7,130,222.51592465753424,287.38829908675797,54.20057077625571,194.4570205479452,24.89611872146119,947.157191780822,350.86311
36.85,-113.9,748.75,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,223.46923515981737,291.27180365296806,53.337899543378995,181.6273401826484,24.92585616438356,924.9388698630136,352.36629000000005
36.85,-113.86,1230.0,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,227.10924657534247,305.00382420091324,51.24303652968037,122.53681506849315,24.888470319634703,828.4314497716895,358.10586
36.85,-113.82,1671.8,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,227.2924086757991,305.6599315068493,52.02591324200913,141.12043378995435,24.83995433789954,858.7590182648402,358.39466999999996
