latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean,dni_mean,dhi_mean,temp_mean,wind_mean,sp_mean
34.93,-109.7,1658.9375,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,245.21647313296904,339.51553961748635,48.10456511839708,144.33492714025502,25.635132058287795,830.617941712204
34.93,-109.66,1690.75,-7,b'United States',b'Arizona',b'Apache',b'None',1,130,245.28107923497268,340.9620901639344,47.46459471766849,138.39008424408016,26.16780510018215,820.6775387067395
34.93,-109.62,1711.5,-7,b'United States',b'Arizona',b'Apache',b'None',3,130,245.24174635701274,340.90107012750457,47.52424863387978,141.55265255009107,26.354223588342442,825.4848019125683
34.93,-109.58,1751.7,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,245.0816256830601,340.79502504553733,47.53847905282331,136.1576161202186,26.546846539162114,816.7916666666666
34.93,-109.54,1810.1,-7,b'United States',b'Arizona',b'Apache',b'None',1,130,244.7911543715847,340.9317509107468,47.48730646630237,135.33304872495447,26.681010928961747,815.354337431694
34.93,-109.5,1859.4375,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,244.4870218579235,340.5688752276867,47.700876593806925,133.0574908925319,26.739583333333332,811.9098360655738
34.93,-109.46,1922.8,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,244.5981898907104,341.234631147541,47.59010701275046,126.36429872495447,26.747723132969035,801.5331284153006
34.93,-109.42,1964.05,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,244.3019694899818,340.7616689435337,47.54656193078324,127.95138888888889,26.74874772313297,803.7707194899817
34.93,-109.38,1963.25,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,244.21123633879782,340.31369535519127,47.740721766848814,128.01115664845173,26.748975409836067,803.9049408014572
34.93,-109.34,1969.95,-7,b'United States',b'Arizona',b'Apache',b'None',1,130,243.46857923497268,337.93300318761385,48.24852003642987,127.41205601092896,26.750170765027324,802.9480305100183
34.93,-109.3,1960.4375,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,243.4326616575592,338.36543715846994,48.110712659380695,131.63524590163934,26.761099726775956,809.3519467213115
34.93,-109.26,1930.2,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,242.98093123861565,336.29456967213116,48.857468123861565,131.98184198542805,26.76719034608379,809.8599157559198
34.93,-109.22,1925.4,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,242.84995446265938,335.90192395264114,49.09238387978142,131.75620446265938,26.787966757741348,809.5190687613843
34.93,-109.18,1961.25,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,242.7671903460838,335.9683515482696,49.2337204007286,128.5878301457195,26.86276183970856,804.0064890710382
34.93,-109.14,1996.6,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,242.72387295081967,336.6888091985428,48.932206284153004,127.14247495446266,27.0739412568306,801.4865095628415
34.93,-109.1,1995.3125,-7,b'United States',b'Arizona',b'Apache',b'None',0,130,242.48599726775956,336.15539617486337,48.92497723132969,128.57712887067396,27.66974043715847,803.4104622040073
34.93,-109.06,1942.15,-7,b'United States',b'Arizona',b'Apache',b'None',1,130,241.78284380692168,333.5909039162113,49.423952641165755,130.22580828779599,27.950079690346083,805.8501821493625
34.97,-114.62,154.52,-7,b'United States',b'Arizona',b'Mohave',b'None',193,14,246.1511839708561,330.14839480874315,52.16632513661202,239.4452413479053,26.81198770491803,987.9482012750456
34.97,-114.58,170.36,-7,b'United States',b'Arizona',b'Mohave',b'None',2999,130,247.18545081967213,332.6571607468124,51.77043488160292,236.57815346083788,26.289162112932605,981.6230077413479
34.97,-114.54,247.36,-7,b'United States',b'Arizona',b'Mohave',b'None',272,130,247.49311247723134,335.4417122040073,50.576730418943534,233.66325136612022,26.2286543715847,976.0511156648452
34.97,-114.5,343.2,-7,b'United States',b'Arizona',b'Mohave',b'None',7,130,248.47415755919855,339.45679644808746,49.46727003642987,228.40733151183971,26.171903460837886,966.1072973588342
34.97,-114.46,448.48,-7,b'United States',b'Arizona',b'Mohave',b'None',12,130,249.63564435336977,343.3730077413479,48.68744307832423,218.35006830601094,26.152720856102004,947.7534722222222
34.97,-114.42,572.84,-7,b'United States',b'Arizona',b'Mohave',b'None',3,130,250.07411202185793,345.8173383424408,48.09084699453552,211.24766621129325,26.151525500910747,935.1407673041895
34.97,-114.38,827.28,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,252.55714936247722,355.27322404371586,46.15858378870674,181.6589253187614,26.151127049180328,884.3442053734062
34.97,-114.34,1073.68,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,253.8514344262295,359.489412568306,45.3701616575592,182.0281193078324,26.151468579234972,884.9825819672132
34.97,-114.3,947.0,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,252.03329918032787,354.6899476320583,46.19211065573771,194.2522199453552,26.15084244080146,905.6824908925319
34.97,-114.26,735.32,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,251.12027550091074,349.8657786885246,47.380407559198545,200.29633424408016,26.15061475409836,916.079121129326
34.97,-114.22,635.72,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,250.51696265938068,347.2568306010929,47.92941712204007,206.8483606557377,26.151639344262296,927.4520719489982
34.97,-114.18,623.88,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,250.64384107468123,346.1924521857924,48.512864298724956,209.0759335154827,26.157217668488162,931.3821721311475
